question,option_a,option_b,option_c,option_d,correct_answer,difficulty
מהי עיר הבירה של קנדה,ונקובר,טורונטו,אוטווה,מונטריאול,ג,4
מהי המדינה הגדולה ביותר בדרום אמריקה מבחינת שטח,ארגנטינה,ברזיל,קולומביה,פרו,ב,2
"באיזה אוקיינוס נמצאת שקע מריאנה, הנקודה העמוקה ביותר על פני כדור הארץ",האוקיינוס האטלנטי,האוקיינוס ההודי,האוקיינוס השקט,האוקיינוס הארקטי,ג,5
מהו ההר הגבוה ביותר באפריקה,הר קניה,הר אטנה,הר קילימנג'רו,הר דרקנסברג,ג,3
באיזו עיר נמצאת הקולוסאום,אתונה,פריז,רומא,לונדון,ג,1
כמה מדינות יש בארצות הברית,48,49,50,52,ג,2
מהו שם המדבר הגדול ביותר בעולם (לא קוטבי),מדבר סהרה,מדבר גובי,המדבר הערבי,מדבר קלהארי,א,6
מהי המדינה הסקנדינבית שגובלת ברוסיה,נורווגיה,שוודיה,פינלנד,דנמרק,ג,5
באיזו יבשת נמצאת אוסטרליה,אסיה,אירופה,אוקיאניה,אפריקה,ג,1
מהו היסוד הכי נפוץ בקרום כדור הארץ,חמצן,סיליקון,אלומיניום,ברזל,א,6
כמה כוכבי לכת יש במערכת השמש שלנו,7,8,9,10,ב,2
מהו החומר שמעניק לצמחים את צבעם הירוק,קסנטופיל,כלורופיל,קרוטנואיד,אנתוציאנין,ב,3
איזה סוג של בעל חיים הוא עטלף,עוף,זוחל,יונק,דו-חי,ג,4
מהו הגז שעליו אנו נושמים,פחמן דו-חמצני,חנקן,חמצן,מימן,ג,1
מהי הטמפרטורה שבה מים קופאים במעלות צלזיוס,-10 מעלות,0 מעלות,10 מעלות,100 מעלות,ב,2
מי ניסח את חוקי התנועה וכוח הכבידה,אלברט איינשטיין,אייזק ניוטון,גלילאו גליליי,ניקולה טסלה,ב,3
מהו האיבר בגוף האדם האחראי על שאיבת דם,מוח,כליות,לב,ריאות,ג,1
איזה כוכב לכת ידוע בטבעותיו המרשימות,מאדים,צדק,שבתאי,אורנוס,ג,2
מהו בעל החיים המהיר ביותר ביבשה,אריה,צ'יטה,יען,גנו,ב,4
"מי היה נשיא ארה""ב הראשון",אברהם לינקולן,תומס ג'פרסון,ג'ורג' וושינגטון,בנג'מין פרנקלין,ג,2
מתי הסתיימה מלחמת העולם השנייה,1939,1941,1945,1950,ג,4
מי הקיף את העולם בפעם הראשונה,כריסטופר קולומבוס,פרדיננד מגלן,וסקו דה גאמה,ג'יימס קוק,ב,5
באיזו שנה נבנתה חומת ברלין,1945,1953,1961,1989,ג,6
מי הייתה מלכת מצרים המפורסמת ביותר,נפרטיטי,חתשפסות,קליאופטרה,תות ענח' אמון,ג,3
מהו הכינוי שניתן למלחמה בין צפון ודרום ארצות הברית,מלחמת העצמאות,מלחמת וייטנאם,מלחמת האזרחים,המלחמה הקרה,ג,4
איזו אימפריה שלטה בחלק גדול מאירופה במשך אלפי שנים לפני נפילתה,האימפריה העות'מאנית,האימפריה הרומית,האימפריה המונגולית,האימפריה הפרסית,ב,2
מי כתב את מגילת העצמאות של ארצות הברית,ג'ורג' וושינגטון,בנג'מין פרנקלין,תומס ג'פרסון,ג'ון אדמס,ג,7
באיזו תקופה חיו הדינוזאורים,עידן הקרח,עידן המזוזואיקון,עידן הפליאוקן,עידן הנאוליתית,ב,3
מי היה המנהיג הסובייטי בתקופת מלחמת העולם השנייה,לנין,סטלין,חרושצ'וב,גורבצ'וב,ב,4
"מי צייר את ""הלילה זרוע הכוכבים""",קלוד מונה,וינסנט ואן גוך,פבלו פיקאסו,רמברנדט,ב,3
מהו הכלי הראשי בנגינת ג'אז,כינור,פסנתר,חליל,אקורדיון,ב,5
"מי כתב את המחזה ""המלט""",צ'ארלס דיקנס,וויליאם שייקספיר,ג'יין אוסטן,לביא טולסטוי,ב,2
מהו הריקוד הלאומי של ספרד,טנגו,סלסה,פלמנקו,ואלס,ג,6
באיזו עיר נמצאת מגדל אייפל,לונדון,רומא,פריז,ברלין,ג,1
מהו סגנון האמנות המאופיין בצורות גיאומטריות ושבירת פרספקטיבה,אימפרסיוניזם,סוריאליזם,קוביזם,רנסנס,ג,7
"מי הלחין את האופרה ""כרמן""",וולפגנג אמדאוס מוצרט,לודוויג ואן בטהובן,ג'ורג' ביזה,ג'וזפה ורדי,ג,8
מהו המאכל הלאומי של יפן,נודלס,סושי,טמפורה,ראמן,ב,4
מי זכה בפרס נובל לספרות בשנת 2016,הארוקי מורקמי,בוב דילן,סווטלנה אלכסייביץ',קאזואו אישיגורו,ב,9
"מהו הגיבור הראשי בסדרת הספרים ""הארי פוטר""",רון וויזלי,הרמיוני גריינג'ר,הארי פוטר,דמבלדור,ג,1
כמה שחקנים יש בקבוצת כדורגל,9,10,11,12,ג,1
באיזו עיר התקיימו המשחקים האולימפיים הראשונים בעת החדשה,רומא,אתונה,לונדון,פריז,ב,5
מי נחשב לשחקן הכדורסל הגדול בכל הזמנים,לברון ג'יימס,קובי בראיינט,מייקל ג'ורדן,מג'יק ג'ונסון,ג,2
"איזה ענף ספורט משוחק עם ""שערים"" ו""עגלות"" על קרח",החלקה אמנותית,קרלינג,הוקי קרח,החלקה מהירה,ב,4
כמה נקודות שווה טאצ'דאון בפוטבול אמריקאי (לפני תוספת),3 נקודות,5 נקודות,6 נקודות,7 נקודות,ג,6
מהו הטורניר היוקרתי ביותר בטניס,אליפות צרפת הפתוחה,אליפות אוסטרליה הפתוחה,ווימבלדון,"אליפות ארה""ב הפתוחה",ג,3
מי מחזיק בשיא העולם בריצת 100 מטר לגברים,יוסיין בולט,טייסון גיי,אסאפה פאוול,ג'סטין גטלין,א,5
איזו מדינה זכתה במספר הרב ביותר של מדליות זהב במשחקים האולימפיים לאורך ההיסטוריה,סין,רוסיה,ארצות הברית,גרמניה,ג,7
מהו מספר החורים הסטנדרטי במגרש גולף,9,12,18,24,ג,3
"באיזה ענף ספורט משתמשים במונח ""מטאור""",כדורסל,כדורגל,כדורעף,בייסבול,ג,8
מי היה אל הברק והשמים במיתולוגיה היוונית,האדס,פוסידון,זאוס,אפולו,ג,2
מהו בעל החיים המיתולוגי בעל גוף של אריה וראש של נשר,ספינקס,הידרה,גריפין,כימרה,ג,4
מי הגיבור המיתולוגי שהרג את המדוזה,הרקולס,אכילס,פרסאוס,אודיסאוס,ג,6
מהו ספר הקודש של הדת המוסלמית,"תנ""ך",תורה,קוראן,בודהה,ג,1
מי היה האל המצרי הקדום של השמש,אוסיריס,רע,אנוביס,הורוס,ב,5
"מהו העץ שאסור היה לאכול ממנו בגן עדן, על פי הסיפור התנ""כי",עץ הדעת טוב ורע,עץ החיים,עץ התמר,עץ התאנה,א,2
מי היה האל הרומי המקביל לזאוס היווני,מארס,נפטון,יופיטר,וולקן,ג,4
מהי החיה הקדושה ביותר בהודו,פיל,נמר,פרה,קוף,ג,3
"מי בנה את התיבה בסיפור המבול התנ""כי",אברהם,משה,נח,דוד,ג,1
"באיזו דת משתמשים בסמל ה""גלגל של דהרמה""",נצרות,אסלאם,בודהיזם,יהדות,ג,7
איזה שחקן מגלם את ג'יימס בונד בסרטים המאוחרים יותר,פירס ברוסנן,שון קונרי,דניאל קרייג,רוג'ר מור,ג,3
"מי ביים את הסרט ""טיטאניק""",סטיבן ספילברג,קוונטין טרנטינו,ג'יימס קמרון,כריסטופר נולאן,ג,4
איזה סרט זכה באוסקר לסרט הטוב ביותר בשנת 2020,1917,פרזיטים,ג'וקר,היו זמנים בהוליווד,ב,8
"מהו שם הכוכב הראשי בסדרת ""מלחמת הכוכבים""",דארת' ויידר,לוק סקייווקר,האן סולו,יודה,ב,2
,אדל,ביונסה,אידינה מנזל,טיילור סוויפט,ג,3
באיזו סדרת טלוויזיה מככבת משפחת סימפסון,פמילי גאי,סאות' פארק,משפחת סימפסון,פיוצ'רמה,ג,1
"מי היה ""אשף עוץ"" בסרט הקלאסי",דורותי,איש הפח,האריה הפחדן,פרופסור מארוול/האשף עצמו,ד,5
מהו סוג הסרט שבו השחקנים שרים ומבצעים ריקודים,דרמה,קומדיה,מיוזיקל,מדע בדיוני,ג,2
